time,src,dst,protocol,length
1784852068.8114736,192.168.8.138,172.64.155.209,6,1454
1784852068.8124743,192.168.8.138,172.64.155.209,6,1454
1784852068.8124743,192.168.8.138,172.64.155.209,6,1454
1784852068.813736,192.168.8.138,172.64.155.209,6,905
1784852068.814746,192.168.8.138,172.64.155.209,6,1454
1784852068.814746,192.168.8.138,172.64.155.209,6,1454
1784852068.8157651,192.168.8.138,172.64.155.209,6,1454
1784852068.8172123,192.168.8.138,172.64.155.209,6,1454
1784852068.8182306,192.168.8.138,172.64.155.209,6,1454
1784852068.8197422,192.168.8.138,172.64.155.209,6,1454
1784852068.8197422,192.168.8.138,172.64.155.209,6,850
1784852068.8211327,192.168.8.138,172.64.155.209,6,1454
1784852068.8233433,192.168.8.138,172.64.155.209,6,1454
1784852068.8233433,192.168.8.138,172.64.155.209,6,1454
1784852068.8243556,192.168.8.138,172.64.155.209,6,1454
1784852068.825381,192.168.8.138,172.64.155.209,6,1454
1784852068.825381,192.168.8.138,172.64.155.209,6,1454
1784852068.8266788,192.168.8.138,172.64.155.209,6,913
1784852068.8282058,192.168.8.138,172.64.155.209,6,1454
1784852068.8302193,192.168.8.138,172.64.155.209,6,1454
1784852068.831432,192.168.8.138,172.64.155.209,6,1454
1784852068.8328924,192.168.8.138,172.64.155.209,6,1454
1784852068.833903,192.168.8.138,172.64.155.209,6,1454
1784852068.837877,192.168.8.138,172.64.155.209,6,1454
1784852068.8388963,192.168.8.138,172.64.155.209,6,865
1784852068.8398986,192.168.8.138,172.64.155.209,6,1454
1784852068.8418956,192.168.8.138,172.64.155.209,6,1454
1784852068.8443387,192.168.8.138,172.64.155.209,6,1454
1784852068.8453367,192.168.8.138,172.64.155.209,6,1454
1784852068.8453367,192.168.8.138,172.64.155.209,6,1454
1784852068.846339,192.168.8.138,172.64.155.209,6,1454
1784852068.8473454,192.168.8.138,172.64.155.209,6,905
1784852068.8473454,192.168.8.138,172.64.155.209,6,1454
1784852068.8483353,192.168.8.138,172.64.155.209,6,1454
1784852068.8493388,192.168.8.138,172.64.155.209,6,1454
1784852068.8513985,192.168.8.138,172.64.155.209,6,1454
